import time: self [us] | cumulative | imported package
import time:       363 |      11984 |             jinja2
import time:       232 |      12215 |           flask.templating
import time:       478 |        478 |           flask.sansio.scaffold
import time:       513 |      13847 |         flask.sansio.app
import time:       258 |        258 |               itsdangerous.exc
import time:       282 |        540 |             itsdangerous.encoding
import time:       263 |        263 |               itsdangerous.signer
import time:       449 |        712 |             itsdangerous.serializer
import time:       272 |        272 |             itsdangerous.timed
import time:       175 |        175 |               itsdangerous._json
import time:       252 |        426 |             itsdangerous.url_safe
import time:       469 |       2418 |           itsdangerous
import time:       317 |        317 |           flask.json.tag
import time:       491 |       3225 |         flask.sessions
import time:       285 |        285 |         flask.wrappers
import time:       508 |      32134 |       flask.app
import time:       506 |        506 |         flask.sansio.blueprints
import time:       248 |        754 |       flask.blueprints
import time:      1104 |      70445 |     flask
import time:       932 |        932 |           dotenv.parser
import time:       368 |        368 |           dotenv.variables
import time:       496 |       1795 |         dotenv.main
import time:       366 |       2160 |       dotenv
import time:       469 |       2629 |     app.config
import time:       320 |        320 |         flask_login.__about__
import time:       203 |        203 |         flask_login.config
import time:       222 |        222 |           flask_login.mixins
import time:       223 |        223 |           flask_login.signals
import time:       915 |        915 |           flask_login.utils
import time:      1272 |       2631 |         flask_login.login_manager
import time:       378 |        378 |                 cmd
import time:      2140 |       2140 |                 bdb
import time:       403 |        403 |                 code
import time:       226 |        226 |                   _pyrepl
import time:       194 |        194 |                   _pyrepl.types
import time:       208 |        208 |                   _pyrepl.trace
import time:       864 |       1491 |                 _pyrepl.utils
import time:      1156 |       5567 |               pdb
import time:       440 |       6007 |             click.testing
import time:       291 |       6297 |           flask.testing
import time:       137 |       6434 |         flask_login.test_client
import time:       255 |       9841 |       flask_login
import time:       893 |        893 |         argparse
import time:       890 |        890 |           alembic.command
import time:       706 |       1596 |         alembic.config
import time:       530 |       3019 |       flask_migrate
import time:       166 |        166 |                         sqlalchemy.sql._orm_types
import time:       497 |        663 |                       sqlalchemy.orm._typing
import time:       883 |       1546 |                     sqlalchemy.orm.base
import time:       475 |        475 |                     sqlalchemy.orm.mapped_collection
import time:       843 |       2863 |                   sqlalchemy.orm.collections
import time:       840 |        840 |                     sqlalchemy.orm.path_registry
import time:      1263 |       2102 |                   sqlalchemy.orm.interfaces
import time:      1685 |       6649 |                 sqlalchemy.orm.attributes
import time:      1155 |       7804 |               sqlalchemy.orm.util
import time:       699 |       8502 |             sqlalchemy.orm.exc
import time:       648 |        648 |                 sqlalchemy.orm.state
import time:       839 |       1486 |               sqlalchemy.orm.instrumentation
import time:       244 |        244 |                     sqlalchemy.future.engine
import time:       185 |        428 |                   sqlalchemy.future
import time:      1028 |       1455 |                 sqlalchemy.orm.context
import time:      1049 |       1049 |                     sqlalchemy.orm.strategy_options
import time:       781 |        781 |                     sqlalchemy.orm.descriptor_props
import time:      2083 |       2083 |                     sqlalchemy.orm.relationships
import time:       712 |       4623 |                   sqlalchemy.orm.properties
import time:      3268 |       3268 |                   sqlalchemy.orm.query
import time:       660 |        660 |                   sqlalchemy.orm.unitofwork
import time:       339 |        339 |                       sqlalchemy.orm.evaluator
import time:       249 |        249 |                         sqlalchemy.orm.sync
import time:       584 |        833 |                       sqlalchemy.orm.persistence
import time:       613 |       1784 |                     sqlalchemy.orm.bulk_persistence
import time:       349 |        349 |                     sqlalchemy.orm.identity
import time:       747 |        747 |                     sqlalchemy.orm.state_changes
import time:      1755 |       4632 |                   sqlalchemy.orm.session
import time:      1175 |      14357 |                 sqlalchemy.orm.strategies
import time:       592 |      16403 |               sqlalchemy.orm.loading
import time:      1550 |      19438 |             sqlalchemy.orm.mapper
import time:       753 |        753 |             sqlalchemy.orm._orm_constructors
import time:       447 |        447 |               sqlalchemy.orm.clsregistry
import time:       974 |        974 |               sqlalchemy.orm.decl_base
import time:       992 |       2412 |             sqlalchemy.orm.decl_api
import time:       468 |        468 |               sqlalchemy.orm.writeonly
import time:       432 |        899 |             sqlalchemy.orm.dynamic
import time:       536 |        536 |               sqlalchemy.orm.scoping
import time:      2523 |       3058 |             sqlalchemy.orm.events
import time:       619 |        619 |             sqlalchemy.orm.dependency
import time:       385 |      36064 |           sqlalchemy.orm
import time:       399 |        399 |               flask_sqlalchemy.pagination
import time:       252 |        650 |             flask_sqlalchemy.query
import time:       405 |       1054 |           flask_sqlalchemy.model
import time:       271 |        271 |           flask_sqlalchemy.session
import time:       235 |        235 |           flask_sqlalchemy.table
import time:       607 |      38229 |         flask_sqlalchemy.extension
import time:       312 |      38541 |       flask_sqlalchemy
import time:      1055 |       1055 |             wtforms.validators
import time:       435 |        435 |               wtforms.widgets.core
import time:       338 |        773 |             wtforms.widgets
import time:       182 |        182 |                     wtforms.i18n
import time:       210 |        210 |                     wtforms.utils
import time:       277 |        668 |                   wtforms.fields.core
import time:       315 |        982 |                 wtforms.fields.choices
import time:       260 |        260 |                 wtforms.fields.datetime
import time:       295 |        295 |                 wtforms.fields.form
import time:       216 |        216 |                 wtforms.fields.list
